iter	Passed	Remaining
644	1973	1086
645	1975	1082
646	1976	1078
647	1978	1074
648	1982	1071
649	1984	1068
650	1986	1065
651	1988	1061
652	1990	1058
653	1992	1054
654	1994	1050
655	1998	1047
656	2000	1044
657	2002	1040
658	2004	1036
659	2005	1033
660	2007	1029
661	2008	1025
662	2011	1022
663	2013	1018
664	2014	1015
665	2016	1011
666	2017	1007
667	2019	1003
668	2020	999
669	2022	996
670	2023	992
671	2027	989
672	2029	985
673	2030	982
674	2032	978
675	2033	974
676	2035	971
677	2037	967
678	2038	963
679	2042	960
680	2044	957
681	2047	954
682	2049	951
683	2051	947
684	2052	943
685	2054	940
686	2057	937
687	2058	933
688	2059	929
689	2061	925
690	2062	922
691	2063	918
692	2064	914
693	2066	911
694	2067	907
695	2069	903
696	2071	900
697	2073	897
698	2075	893
699	2077	890
700	2079	886
701	2080	883
702	2081	879
703	2083	875
704	2085	872
705	2087	869
706	2088	865
707	2090	862
708	2092	858
709	2093	855
710	2095	851
711	2096	848
712	2098	844
713	2100	841
714	2102	838
715	2104	834
716	2105	831
717	2106	827
718	2108	823
719	2109	820
720	2111	816
721	2112	813
722	2115	810
723	2116	806
724	2117	803
725	2119	799
726	2120	796
727	2121	792
728	2122	789
729	2124	785
730	2125	782
731	2126	778
732	2129	775
733	2130	772
734	2132	768
735	2133	765
736	2134	761
737	2135	758
738	2137	754
739	2138	751
740	2140	748
741	2142	744
742	2144	741
743	2146	738
744	2147	735
745	2148	731
746	2150	728
747	2152	725
748	2153	721
749	2155	718
750	2156	714
751	2159	712
752	2160	708
753	2162	705
754	2163	702
755	2164	698
756	2166	695
757	2168	692
758	2170	689
759	2172	686
760	2174	682
761	2176	679
762	2178	676
763	2180	673
764	2181	670
765	2183	667
766	2185	663
767	2186	660
768	2189	657
769	2190	654
770	2192	651
771	2193	647
772	2195	644
773	2196	641
774	2197	638
775	2199	634
776	2200	631
777	2203	628
778	2204	625
779	2205	622
780	2207	618
781	2208	615
782	2209	612
783	2210	609
784	2212	605
785	2213	602
786	2214	599
787	2217	596
788	2218	593
789	2220	590
790	2221	586
791	2222	583
792	2224	580
793	2225	577
794	2226	574
795	2228	571
796	2229	567
797	2232	565
798	2233	561
799	2235	558
800	2237	555
801	2238	552
802	2240	549
803	2241	546
804	2242	543
805	2244	540
806	2245	537
807	2247	534
808	2249	531
809	2251	528
810	2253	525
811	2254	521
812	2255	518
813	2257	515
814	2258	512
815	2262	510
816	2264	507
817	2266	504
818	2267	501
819	2270	498
820	2271	495
821	2273	492
822	2277	489
823	2278	486
824	2280	483
825	2281	480
826	2283	477
827	2284	474
828	2286	471
829	2287	468
830	2289	465
831	2291	462
832	2293	459
833	2295	456
834	2296	453
835	2298	450
836	2300	447
837	2301	444
838	2303	442
839	2306	439
840	2308	436
841	2310	433
842	2311	430
843	2313	427
844	2314	424
845	2316	421
846	2318	418
847	2321	416
848	2322	413
849	2324	410
850	2326	407
851	2327	404
852	2329	401
853	2331	398
854	2333	395
855	2335	392
856	2337	389
857	2338	387
858	2340	384
859	2341	381
860	2343	378
861	2344	375
862	2346	372
863	2347	369
864	2350	366
865	2351	363
866	2353	361
867	2355	358
868	2357	355
869	2359	352
870	2360	349
871	2362	346
872	2364	344
873	2366	341
874	2367	338
875	2369	335
876	2370	332
877	2372	329
878	2373	326
879	2374	323
880	2376	320
881	2377	318
882	2379	315
883	2381	312
884	2382	309
885	2384	306
886	2386	304
887	2387	301
888	2389	298
889	2390	295
890	2392	292
891	2394	289
892	2396	287
893	2398	284
894	2399	281
895	2400	278
896	2402	275
897	2403	272
898	2404	270
899	2405	267
900	2408	264
901	2410	261
902	2411	259
903	2412	256
904	2413	253
905	2415	250
906	2416	247
907	2417	244
908	2418	242
909	2420	239
910	2422	236
911	2423	233
912	2425	231
913	2426	228
914	2427	225
915	2428	222
916	2430	219
917	2431	217
918	2432	214
919	2434	211
920	2435	208
921	2438	206
922	2440	203
923	2441	200
924	2442	198
925	2444	195
926	2446	192
927	2447	189
928	2448	187
929	2450	184
930	2452	181
931	2454	179
932	2455	176
933	2456	173
934	2458	170
935	2459	168
936	2460	165
937	2462	162
938	2463	160
939	2464	157
940	2467	154
941	2468	152
942	2470	149
943	2471	146
944	2472	143
945	2474	141
946	2475	138
947	2476	135
948	2478	133
949	2481	130
950	2483	127
951	2484	125
952	2485	122
953	2487	119
954	2488	117
955	2489	114
956	2491	111
957	2492	109
958	2493	106
959	2495	103
960	2497	101
961	2498	98
962	2499	96
963	2501	93
964	2502	90
965	2504	88
966	2505	85
967	2507	82
968	2508	80
969	2511	77
970	2512	75
971	2513	72
972	2514	69
973	2516	67
974	2517	64
975	2519	61
976	2520	59
977	2521	56
978	2522	54
979	2524	51
980	2526	48
981	2528	46
982	2529	43
983	2531	41
984	2534	38
985	2536	36
986	2537	33
987	2539	30
988	2541	28
989	2542	25
990	2544	23
991	2546	20
992	2547	17
993	2549	15
994	2550	12
995	2551	10
996	2553	7
997	2555	5
998	2557	2
999	2559	0
